district,code,endorsedtrump,party,demp,repp,demc,repc,year,white,black,latino,asianandpacificislander,native,highschoolorgreater,bachelorsdegreeorhigher,medianincome
Illinois' 13th,IL-13,Republican,Republican,49.6,50.400002,134458,136516,2018,83.5,10.2,2.4000001,1.9,0.2,92,30.4,50373
Illinois' 13th,IL-13,Republican,Republican,41.3,58.700001,86935,123337,2014,83.5,10.2,2.4000001,1.9,0.2,92,30.4,50373
Illinois' 14th,IL-14,Endorsed Trump,Republican,34.6,65.400002,76861,145369,2014,85.199997,3,7.4000001,3.5,0.1,93.5,40,90082
Illinois' 14th,IL-14,Endorsed Trump,Democratic,52.5,47.5,156035,141164,2018,85.199997,3,7.4000001,3.5,0.1,93.5,40,90082
Illinois' 14th,IL-14,Endorsed Trump,Republican,40.7,59.299999,137589,200508,2016,85.199997,3,7.4000001,3.5,0.1,93.5,40,90082
Illinois' 15th,IL-15,Endorsed Trump,Republican,0,100,0,274554,2016,92.800003,4,1.8,0.5,0.2,89,19.200001,50821
Illinois' 15th,IL-15,Endorsed Trump,Republican,25.1,74.900002,55652,166274,2014,92.800003,4,1.8,0.5,0.2,89,19.200001,50821
Illinois' 15th,IL-15,Endorsed Trump,Republican,29.1,70.900002,74309,181294,2018,92.800003,4,1.8,0.5,0.2,89,19.200001,50821
Illinois' 16th,IL-16,Republican,Republican,40.9,59.099998,104569,151254,2018,88.5,3.5999999,5.6999998,1,0.1,90.5,21.9,58129
Illinois' 16th,IL-16,Republican,Republican,29.4,70.599998,63810,153388,2014,88.5,3.5999999,5.6999998,1,0.1,90.5,21.9,58129
Illinois' 16th,IL-16,Republican,Republican,0,99.900002,0,259722,2016,88.5,3.5999999,5.6999998,1,0.1,90.5,21.9,58129
Illinois' 17th,IL-17,Democrat,Democratic,60.3,39.700001,173125,113943,2016,82.300003,10.1,5.4000001,0.80000001,0.2,87.300003,18.9,46751
Illinois' 17th,IL-17,Democrat,Democratic,62.1,37.900002,142659,87090,2018,82.300003,10.1,5.4000001,0.80000001,0.2,87.300003,18.9,46751
Illinois' 17th,IL-17,Democrat,Democratic,55.5,44.5,110560,88785,2014,82.300003,10.1,5.4000001,0.80000001,0.2,87.300003,18.9,46751
Illinois' 18th,IL-18,Endorsed Trump,Republican,27.9,72.099998,96770,250506,2016,92.300003,3.5999999,1.9,1.2,0.1,93.400002,32.200001,62337
Illinois' 18th,IL-18,Endorsed Trump,Republican,25.3,74.699997,62377,184363,2014,92.300003,3.5999999,1.9,1.2,0.1,93.400002,32.200001,62337
Illinois' 18th,IL-18,Endorsed Trump,Republican,32.8,67.199997,95486,195927,2018,92.300003,3.5999999,1.9,1.2,0.1,93.400002,32.200001,62337
Indiana's 1st,IN-01,Democrat,Democratic,65.1,34.900002,159611,85594,2018,67.900002,18.1,11.9,0.89999998,0.2,89,22.5,54925
