district,code,endorsedtrump,party,demp,repp,demc,repc,year,white,black,latino,asianandpacificislander,native,highschoolorgreater,bachelorsdegreeorhigher,medianincome
Florida's 15th,FL-15,Endorsed Trump,Republican,,,,,2014,66.599998,13.2,16.200001,2.5,0.2,87.5,24.799999,52460
Florida's 16th,FL-16,Endorsed Trump,Republican,,,,,2014,79.599998,7.5,9.8999996,1.7,0.30000001,89.800003,31.700001,56355
Florida's 16th,FL-16,Endorsed Trump,Republican,45.4,54.599998,164463,197483,2018,79.599998,7.5,9.8999996,1.7,0.30000001,89.800003,31.700001,56355
Florida's 16th,FL-16,Endorsed Trump,Republican,40.2,59.799999,155262,230654,2016,79.599998,7.5,9.8999996,1.7,0.30000001,89.800003,31.700001,56355
Florida's 17th,FL-17,Republican,Republican,,,,,2014,81.900002,6.6999998,9.1999998,1,0.30000001,86.199997,21.1,46034
Florida's 17th,FL-17,Republican,Republican,37.7,62.299999,117194,193326,2018,81.900002,6.6999998,9.1999998,1,0.30000001,86.199997,21.1,46034
Florida's 17th,FL-17,Republican,Republican,34.2,61.799999,115974,209348,2016,81.900002,6.6999998,9.1999998,1,0.30000001,86.199997,21.1,46034
Florida's 18th,FL-18,Republican,Republican,45.7,54.299999,156454,185905,2018,76,10.8,10.5,1.7,0.2,89.400002,30.200001,56264
Florida's 18th,FL-18,Republican,Republican,43.1,53.599998,161918,201488,2016,76,10.8,10.5,1.7,0.2,89.400002,30.200001,56264
Florida's 18th,FL-18,Republican,Republican,,,,,2014,76,10.8,10.5,1.7,0.2,89.400002,30.200001,56264
Florida's 19th,FL-19,Republican,Republican,37.7,62.299999,128106,211465,2018,80.699997,5.9000001,11.2,1.3,0.2,88.5,31.9,54971
Florida's 19th,FL-19,Republican,Republican,34.1,65.900002,123812,239225,2016,80.699997,5.9000001,11.2,1.3,0.2,88.5,31.9,54971
Florida's 19th,FL-19,Republican,Republican,32.7,64.599998,80824,159354,2014,80.699997,5.9000001,11.2,1.3,0.2,88.5,31.9,54971
Florida's 20th,FL-20,Democrat,Democratic,99.9,0,202659,0,2018,24.5,52,19.799999,2.3,0.1,81.900002,21,43648
Florida's 20th,FL-20,Democrat,Democratic,,,,,2014,24.5,52,19.799999,2.3,0.1,81.900002,21,43648
Florida's 20th,FL-20,Democrat,Democratic,80.3,19.700001,222914,54646,2016,24.5,52,19.799999,2.3,0.1,81.900002,21,43648
Florida's 21st,FL-21,Democrat,Democratic,100,0,0,0,2018,69.300003,11.9,15.7,2.0999999,0.1,87.699997,34,55616
Florida's 21st,FL-21,Democrat,Democratic,62.7,35.099998,210606,118038,2016,69.300003,11.9,15.7,2.0999999,0.1,87.699997,34,55616
Florida's 21st,FL-21,Democrat,Democratic,,,,,2014,69.300003,11.9,15.7,2.0999999,0.1,87.699997,34,55616
Florida's 22nd,FL-22,Democrat,Democratic,58.9,41.099998,199113,138737,2016,67.699997,11.9,16.4,2.5999999,0.1,91.199997,38,59830
Florida's 22nd,FL-22,Democrat,Democratic,62,38,184634,113049,2018,67.699997,11.9,16.4,2.5999999,0.1,91.199997,38,59830
Florida's 22nd,FL-22,Democrat,Democratic,,,,,2014,67.699997,11.9,16.4,2.5999999,0.1,91.199997,38,59830
Florida's 23rd,FL-23,Democrat,Democratic,58.5,36,161611,99446,2018,49.599998,13,32.299999,3.5,0.30000001,92,38.799999,62823
Florida's 23rd,FL-23,Democrat,Democratic,56.7,40.5,183225,130818,2016,49.599998,13,32.299999,3.5,0.30000001,92,38.799999,62823
Florida's 23rd,FL-23,Democrat,Democratic,,,,,2014,49.599998,13,32.299999,3.5,0.30000001,92,38.799999,62823
Florida's 24th,FL-24,Democrat,Democratic,100,0,0,0,2016,14.8,50.200001,32.900002,1.3,0.1,78.099998,19.299999,37821
Florida's 24th,FL-24,Democrat,Democratic,,,,,2014,14.8,50.200001,32.900002,1.3,0.1,78.099998,19.299999,37821
Florida's 24th,FL-24,Democrat,Democratic,100,0,0,0,2018,14.8,50.200001,32.900002,1.3,0.1,78.099998,19.299999,37821
Florida's 25th,FL-25,Republican,Republican,37.6,62.400002,95319,157921,2016,26,3.8,68.699997,1,0.2,78.099998,23.1,46827
Florida's 25th,FL-25,Republican,Republican,,,,,2014,26,3.8,68.699997,1,0.2,78.099998,23.1,46827
Florida's 25th,FL-25,Republican,Republican,39.5,60.5,84173,128672,2018,26,3.8,68.699997,1,0.2,78.099998,23.1,46827
Florida's 26th,FL-26,Democrat,Democratic,,,,,2014,21.200001,11.4,64.900002,1.7,0.1,82,25.799999,53318
Florida's 26th,FL-26,Democrat,Democratic,50.9,49.099998,119797,115678,2018,21.200001,11.4,64.900002,1.7,0.1,82,25.799999,53318
Florida's 26th,FL-26,Republican,Republican,41.2,53,115493,148547,2016,21.200001,11.4,64.900002,1.7,0.1,82,25.799999,53318
Florida's 27th,FL-27,Democrat,Democratic,,,,,2014,26,5.0999999,66.400002,1.8,0.1,84.699997,38,52353
Florida's 27th,FL-27,Republican,Republican,45.1,54.900002,129760,157917,2016,26,5.0999999,66.400002,1.8,0.1,84.699997,38,52353
Florida's 27th,FL-27,Democrat,Democratic,51.8,45.799999,130743,115588,2018,26,5.0999999,66.400002,1.8,0.1,84.699997,38,52353
